,Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points
356,Arabica,juan luis alvarado romero,Guatemala,la esperanza,11/23/0145,beneficio ixchel,11/23/0145,"unex guatemala, s.a.",4000,oriente,MARGARITA AVILA DE NUYENS,7.67,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,83.5
357,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-0634,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,7.58,7.58,7.58,7.58,7.75,7.67,10,10,10,7.75,83.5
358,Arabica,damari absalome,"Tanzania, United Republic Of",ano family,,arusha,CA007,tawoca,1400m,nkure- meru,Mr & Mrs Damari Absalome,7.75,7.67,7.58,7.67,7.67,7.58,10,10,10,7.58,83.5
359,Arabica,aulia arif syahri,Indonesia,yusrin,,olam,To be advice,pt. olam indonesia,1500,bener meriah,Yusrin,7.25,7.67,7.58,7.92,7.83,7.58,10,10,10,7.67,83.5
360,Arabica,debesa agro industry plc,Ethiopia,,,,2014/15,debesa agro industry plc,1600 on average,oromia,Debesa,7.67,7.75,7.5,7.58,7.75,7.67,10,10,10,7.58,83.5
361,Arabica,federacion nacional de cafeteros,Colombia,,,,01-1437,federacion nacional de cafeteros,,huila,,7.67,7.42,7.67,7.83,7.58,7.67,10,10,10,7.67,83.5
362,Arabica,exportadora de cafe condor s.a,Colombia,,,bonanza - armenia,3-68-0068,exportadora de cafe condor s.a,1850 msnm,huila,,8,7.58,7.25,7.58,7.92,7.58,10,10,10,7.58,83.5
363,Arabica,the coffee source inc.,Guatemala,several,,ixchel,11-023-0025,the coffee source inc.,1400 mts,atitlan,UNEX,7.58,7.75,7.5,7.83,7.42,7.67,10,10,10,7.75,83.5
364,Arabica,compañia colombiana agroindustrial s.a,Colombia,,,trilladora boananza,3-79-2009,ecom cca sa,1650,cundinamarca,,7.75,7.58,7.33,7.5,7.83,7.83,10,10,10,7.67,83.5
365,Arabica,,Honduras,los hicaques,,cigrah sps,13-111-240,cigrah,1350,comayagua,Reynerio Zepeda,7.67,7.5,7.67,7.5,7.67,7.67,10,10,10,7.83,83.5
366,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora boananza,3-68-0161,exportadora de cafe condor s.a,1750 msnm,huila,,7.58,7.75,7.42,7.67,7.75,7.67,10,10,10,7.67,83.5
367,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora boananza,3-68-0183,exportadora de cafe condor s.a,1750 msnm,huila,,7.58,7.67,7.58,7.75,7.58,7.75,10,10,10,7.58,83.5
368,Arabica,manuel herrera juarez,Mexico,finca los barreales 1112lban,,finca los barreales,0,finca los barreales,1170,xalapa,MANUEL HERRERA JUAREZ,7.83,7.58,7.25,7.5,7.5,7.42,10,10,10,8.42,83.5
369,Arabica,miguel cortes moreno,Mexico,,,"comunidad de sacún palma, municipio de chilón, chiapas",01-04,estrategias constructivas corzu s.a. de c.v.,940,chilón,ARMANDO GUTIERREZ GUZMAN,7.67,7.75,7.67,7.75,7.58,7.5,10,10,10,7.58,83.5
370,Arabica,gabriel bernardo rivas ross,Mexico,la corralera,,dos puentes de finca kassandra,2484,,1400,totutla,GABRIEL BERNARD RIVAS ROSS,7.75,7.67,7.67,7.75,7.33,7.5,10,10,10,7.83,83.5
371,Arabica,juan luis alvarado romero,Guatemala,santo tomas pachuj,,"palinsa, beneficiado seco / santo tomas pachuj, beneficiado humedo",11/752/02,kanematsu corporation / rnp santo tomas pachuj,5000,atitlan,RNP SANTO TOMAS PACHUJ / KANEMATSU CORPORATION,7.83,7.5,7.5,8,7.67,7.5,10,10,10,7.5,83.5
372,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-0666,c.i.racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,7.67,7.58,7.58,7.67,7.67,7.67,10,10,10,7.67,83.5
373,Arabica,felipe isaza,Guatemala,conquista / morito,,beneficio ixchel,11/23/0237,coffee resources inc.,4600 ft.,oriente,ConquistaMorito,7.5,7.5,7.75,7.5,8,7.67,10,10,10,7.58,83.5
374,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,,HDOA #210308,,,,,7.5,7.67,7.58,7.92,7.58,7.67,10,10,10,7.58,83.5
375,Arabica,specialty coffee association of indonesia,Indonesia,pancoer angkrek,,pt. perkebunan nusantara xii,015-282,,1600,bondowoso,PT. PERKEBUNAN NUSANTARA XII,7.83,7.58,7.58,7.58,7.75,7.58,10,10,10,7.58,83.5
376,Arabica,carcafe ltda ci,Colombia,,3-59-0504,neiva,3-59-0504,carcafe ltda,439,huila,FRANKLIN DUSSAN / HIPOLITO TORRES,7.5,7.58,7.58,7.5,7.75,7.83,10,10,10,7.67,83.42
377,Arabica,juan luis alvarado romero,Guatemala,piamonte,11/23/0696,beneficio ixchel,11/23/0696,"unex guatemala, s.a.",1700,san marcos,JORGE LEAL,7.67,7.75,7.5,7.58,7.58,7.67,10,10,10,7.67,83.42
378,Arabica,carcafe ltda ci,Colombia,,3-59-2318,cartago,3-59-2318,carcafe ltda,442,huila,FRANKLIN DUSSAN / HIPOLOTO TORRES,7.67,7.67,7.5,7.67,7.67,7.58,10,10,10,7.67,83.42
379,Arabica,"ceca, s.a.",Costa Rica,gamboa,8885,beneficio montañas del diamante,5-025-0032,"ceca,s.a.",1850,tarrazu,Martin Gutierrez,7.58,7.5,7.42,7.92,7.5,7.67,10,10,10,7.83,83.42
380,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,日月潭文武莊園,1,南投縣埔里鎮蜈蚣里,,宸嶧國際,,,黃素貞0939227229,7.67,7.67,7,07.08,7,7,10,10,10,10,83.42
381,Arabica,bugisu cooperative union,Uganda,bulago & buginyanya,5055,bcu,7697,bugisu cooperative union,1800,eastern,Bulago & Buginyanya,7.58,7.75,7.33,7.75,7.67,7.58,10,10,10,7.75,83.42
382,Arabica,松澤宏樹 koju matsuzawa,Thailand,matsuzawa coffee,MCCFWXA15/16,matsuzawa coffee,,matsuzawa coffee,1200,thailand,Matsuzawa Coffee,7.5,7.58,7.75,7.5,7.75,7.67,10,10,10,7.67,83.42
383,Arabica,consejo salvadoreño del café,El Salvador,la joya,73,el borbollon,9-391-73,consejo salvadoreño del café,1330,apaneca,"Ibero El Salvador, S.A. de C.V.",7.58,7.5,7.75,7.58,7.75,7.67,10,10,10,7.58,83.42
384,Arabica,carcafe ltda ci,Colombia,,,neiva,3-59-2236,carcafe ltda,442 msnm,huila,FRANKLIN DUSSAN/ANDRES RODRIGUEZ/HIPOLITO TORRES,7.58,7.67,7.58,7.67,7.58,7.67,10,10,10,7.67,83.42
385,Arabica,bourbon specialty coffees,Brazil,cachoeira da grama farm,,,002/4542/0886,bourbon specialty coffees,,vale da grama,GABRIEL CARVALHO DIAS,7.33,7.83,7.75,7.5,7.42,7.83,10,10,10,7.75,83.42
386,Arabica,ngila estate ltd,"Tanzania, United Republic Of",ngila estate,,ngila estate ltd,C50,ngila estate ltd,1600,karatu northern,Ngila Estate Ltd,7.75,7.67,7.58,7.67,7.58,7.58,10,10,10,7.58,83.42
387,Arabica,compañia colombiana agroindustrial s.a,Colombia,,,trilladora boananza,15-3-79-0002,ecom cca sa,1813,huila,,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10,10,7.58,83.42
388,Arabica,juan luis alvarado romero,Guatemala,el papaturro,,beneficio ixchel,11/23/0562,"unex guatemala, s.a.",4000 psnm,oriente,AMILCAR LAPOLA,7.75,7.83,7.33,7.83,7.5,7.67,10,10,10,7.5,83.42
389,Arabica,juan luis alvarado romero,Guatemala,finca medina,,beneficio siembras vision (154),11/11711/6,"siembras vision, s.a.",1500 msnm,antigua,"SIEMBRAS VISIÓN, S.A.",7.67,7.75,7.5,7.83,7.58,7.5,10,10,10,7.58,83.42
390,Arabica,juan luis alvarado romero,Guatemala,el morito,,beneficio ixchel,11/23/1040,"unex guatemala, s.a.",4300,oriente,ROBERTO MONTERROSO,7.67,7.5,7.75,7.42,7.75,7.75,10,10,10,7.58,83.42
391,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,,2233803 KONA NO. 1,kona pacific farmers cooperative,,kona,,7.42,7.75,7.67,7.58,7.67,7.67,10,10,10,7.67,83.42
392,Arabica,exportadora de cafe condor s.a,Colombia,various,,trilladora boananza,3-68-0147,exportadora de cafe condor s.a,1450 msnm,cundinamarca,Exportadora de cafe condor,7.5,7.75,7.58,7.5,7.67,7.75,10,10,10,7.67,83.42
393,Arabica,federacion nacional de cafeteros,Colombia,,,,03-01-0424,,,huila,,7.58,7.58,7.58,7.67,7.75,7.67,10,10,10,7.58,83.42
394,Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,,,HDOA 210127 Kona Extra Fancy,,,kona,Kona Pacific Farmers Co-Op,7.5,7.92,7.42,7.67,7.83,7.58,10,10,10,7.5,83.42
395,Arabica,doi tung development project,Thailand,doi tung development project,,,,,,,Doi Tung Development Project,7.58,7.25,7.5,7.92,7.92,7.42,10,10,10,7.83,83.42
396,Arabica,grounds for health admin,Mexico,,,,016-2729-001-A-LAB-SS2,,900-1200mtr,nayarit,"Productores de Cafe de El Cuarenteno, S. de P.R. de R.L",7.25,7.88,7.38,7.63,7.5,8.75,9,10,10,8,83.38
397,Arabica,exportadora de cafe condor s.a,Colombia,various,68-0054,bonanza - armenia,68-0054,exportadora de cafe condor s.a,1650,huila,various,7.75,7.5,7.75,7.58,7.58,7.58,10,10,10,7.58,83.33
398,Arabica,racafe & cia s.c.a,Colombia,,3-37-3729,bachue,3-37-3729,racafe & cia s.c.a,,guayata,,7.67,7.58,7.58,7.42,7.67,7.75,10,10,10,7.67,83.33
399,Arabica,racafe & cia s.c.a,Colombia,,3-37-2623,bachue,3-37-2623,racafe & cia s.c.a,,huila,La Plata,7.83,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,83.33
400,Arabica,ipanema coffees,Brazil,rio verde,,ipanema coffees,002/1660/0106,ipanema coffees,1227,south of minas,Ipanema Agrícola SA,7.5,7.83,7.33,7.58,7.58,7.92,10,10,10,7.58,83.33
401,Arabica,andreas kussmaul,Mexico,ecc,,ecc,1620280402,exportadora café california,1200,chiapas,ECC,7.75,7.75,7.5,7.67,7.5,7.58,10,10,10,7.58,83.33
402,Arabica,exportadora de cafe condor s.a,Colombia,various,,trilladora agricola,3-68-0103,exportadora de cafe condor s.a,1650 msnm,santander,varios,7.67,7.75,7.42,7.83,7.83,7.42,10,10,10,7.42,83.33
403,Arabica,afca,"Tanzania, United Republic Of",mondul coffee estate,,mondul coffee estate,C27,mondul coffee estate,1700,arusha,Mondul Coffee Estate,7.75,7.58,7.67,7.58,7.58,7.58,10,10,10,7.58,83.33
404,Arabica,j.andrade,Mexico,el pino,,"el pino, cosautlan de carvajal",0,"café andrade, s.a. de c.v.",1100,veracruz,JOSÉ LUIS ANDRADE SANDARA,7.67,7.67,7.58,7.67,7.5,7.58,10,10,10,7.67,83.33
405,Arabica,the coffee source inc.,Costa Rica,several,,cafe altura de san ramon,5-562-0013,the coffee source inc.,1300 msnm,san ramon,SEVERAL,7.67,7.67,7.42,7.67,7.67,7.67,10,10,10,7.58,83.33
406,Arabica,eileen koyanagi,United States (Hawaii),,,,KP012314,kona pacific farmers cooperative,,kona,,7.83,7.58,7.83,7.67,7.92,8,9.33,10,9.33,7.83,83.33
407,Arabica,eric thormaehlen,Costa Rica,several,,several - coricafe dry mill,5-0048-0023,coricafe s.a.,1100-1300,central valley,CORICAFE BLEND,7.5,7.67,7.67,7.5,7.83,7.17,10,10,10,8,83.33
408,Arabica,dane loraas,Peru,,,,030-0695-1742,sustainable harvest,,,,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10,10,7.5,83.33
409,Arabica,itiah coffee llc,Haiti,marre blanche,,,,itiah coffee llc.,4200 feet,"thiotte, haiti",COOPCAB,7.58,7.5,7.67,7.5,7.83,7.42,10,10,10,7.83,83.33
410,Arabica,carcafe ltda ci,Colombia,,,neiva,3-59-1326,carcafe ltda,1000 msnm,pitalito,ORLANDO ORTIZ / HIPOLITO TORRES,7.67,7.67,7.5,7.67,7.92,7.42,10,10,10,7.5,83.33
411,Arabica,juan luis alvarado romero,Guatemala,el sacramento,,beneficio ixchel,11/23/0419,"unex guatemala, s.a.",4300,oriente,LUIS RODRIGUEZ,7.83,7.67,7.17,7.67,7.67,7.67,10,10,10,7.67,83.33
412,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,,2234503 KONA PRIME,kona pacific farmers cooperative,,kona,,7.92,7.5,7.58,7.83,7.67,7.67,9.33,10,10,7.83,83.33
413,Arabica,steven kil,Burundi,sogestal kayanza,,kiriyama washing station,,the specialty coffee appraisers institute of asia,1880,kayanza,,7.75,7.67,7.33,7.5,7.5,7.75,10,10,10,7.83,83.33
414,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora boananza,3-68-0133,exportadora de cafe condor s.a,1750 msnm,huila,condor,7.5,7.67,7.67,7.58,7.67,7.58,10,10,10,7.67,83.33
415,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,,,,,kona,,08.08,7.83,7.83,7.75,7.67,7.58,9.33,10,9.33,7.92,83.33
416,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,,HDOA #210307,,,,,7.58,7.67,7.58,7.5,7.83,7.67,10,10,10,7.5,83.33
417,Arabica,cafe de don balbino s.c. de r.l. de c.v.,Mexico,corta pico,2016-2017-1,la catedral del cafe,,cafe de don balbino s.c. de r.l. de c.v.,1600,sierra madre occidental,BALBINO RAMIREZ FLORES,7.67,7.83,7.42,7.83,7.33,7.5,10,10,10,7.67,83.25
418,Arabica,troy quimby,Costa Rica,estate la patricia,LP-C211-181,micro beneficio la cabaña-javier meza,,bold coast coffee,1900,tarrazu,Manuel Montero,7.5,7.5,7.83,7.5,7.67,7.67,10,10,10,7.58,83.25
419,Arabica,rodrigo soto,Costa Rica,coopellanobonito,s16292,coocafe r.l,5-139-0050,panamerican coffee trading,,tarrazu,Coopellanobonito,7.83,7.5,7.42,7.67,7.5,7.67,10,10,10,7.67,83.25
420,Arabica,juan luis alvarado romero,Guatemala,linda vista,11-973-152,linda vista,11/973/152,mercon guatemala s.a.,2100,nuevo oriente,PABLO CHUY,7.5,7.58,7.42,7.83,7.67,7.58,10,10,10,7.67,83.25
421,Arabica,kawacom uganda ltd,Uganda,kawacom uganda ltd sipi farmers group,035/170/5061178,kawacom,035/170/5061178,kawacom uganda ltd,,"sipi, mt elgon",Kawacom Uganda LTD,7.5,7.67,7.67,7.42,7.67,7.67,10,10,10,7.67,83.25
422,Arabica,bourbon specialty coffees,Brazil,,43102245 - P4615,dinamo armazens gerais ltda,002/4542/0189,bourbon specialty coffees,,campos altos - cerrado,,7.58,7.67,7.42,7.5,7.67,7.42,10,10,10,8,83.25
423,Arabica,carcafe ltda ci,Colombia,,,neiva,3-59-0318,carcafe ltda,442 msnm,huila,FRANKLIN DUSSAN,7.58,7.67,7.67,7.17,7.75,7.83,10,10,10,7.58,83.25
424,Arabica,productos y servicios chilindron s.a. de c.v.,Mexico,los charcos,,la yerba,3,productos y servicios chilindron s.a. de c.v.,1261,cuarenteño,Rafael Arroyo Zoto,7.83,7.75,7.5,7.58,7.58,7.58,10,10,10,7.42,83.25
425,Arabica,"lin, che-hao krude 林哲豪",Taiwan,sunshine valley estate 向陽高山咖啡,,sunshine valley estate 向陽高山咖啡,Taiwan,taiwan coffee laboratory,1000 m,natou county,LIN YEN CHIEN 林言謙,7.67,7.5,7.5,7.5,7.67,7.83,10,10,10,7.58,83.25
426,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,以勒咖啡,,以勒咖啡,Taiwanw台灣,宸嶧國際,800公尺,南投國姓,蘇詠晴,7.92,7.83,7.75,7.58,7.5,7.33,10,10,10,7.33,83.25
427,Arabica,compañia colombiana agroindustrial s.a,Colombia,,,trilladora boananza,3-79-1818,ecom cca sa,1483,eje cafetero,,7.58,7.58,7.5,7.58,7.58,7.75,10,10,10,7.67,83.25
428,Arabica,juan luis alvarado romero,Guatemala,finca medina,,beneficio siembras vision (154),11-11711-85 (MED),"siembras vision, s.a.",1500 msnm,antigua,"SIEMBRAS VISIÓN, S.A.",7.5,7.67,7.58,7.67,7.67,7.5,10,10,10,7.67,83.25
429,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora boananza,3-68-0215,exportadora de cafe condor s.a,1750 msnm,huila,,7.83,7.5,7.67,7.33,7.67,7.67,10,10,10,7.58,83.25
430,Arabica,calixto guillen vazquez,Mexico,various,,productores de cafes especiales sc,2406,"finca triunfo verde, s.c.",1300,chiapas,VRIOS PRODUCTORES,7.58,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,83.25
431,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,,KF313630,kona pacific farmers cooperative,,kona,,7.58,7.75,7.83,8,08.08,7.67,9.33,10,9.33,7.67,83.25
432,Arabica,ernesto rodriguez luna,Mexico,finca teocelo,,monte blanco,0,finca teocelo,,veracruz,ERNESTO RODRIGUEZ LUNA,7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,83.25
433,Arabica,modesto landeros flores,Mexico,mata larga,,finca mata larga,0,,1000,fortín de las flores,MODESTO LANDEROS FLORES,7.75,7.75,7.42,7.92,7.33,7.5,10,10,10,7.58,83.25
434,Arabica,juan luis alvarado romero,Guatemala,agropecuaria quiagral,,beneficio ixchel,11/23/0767,"unex guatemala, s.a.",4300,oriente,AGROPECUARIA QUIAGRAL,7.83,7.58,07.08,7.83,7.42,08.08,10,10,10,7.42,83.25
435,Arabica,nucoffee,Brazil,água limpa,,,002/1251/0241,nucoffee,1200m,grama valley,Eliane de Andrade Cyrino Noqueira,7.75,7.67,7.5,7.58,7.58,7.58,10,10,10,7.58,83.25
436,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora boananza,3-68-0089,exportadora de cafe condor s.a,175,huila,,7.67,7.58,7.58,7.42,7.83,7.58,10,10,10,7.58,83.25
437,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-0661,c.i.racafe & cia s.c.a,de 1600 a 1950 msnm,la plata,La Plata,7.67,7.67,7.5,7.5,7.58,7.67,10,10,10,7.67,83.25
438,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora bonanza - armenia quindioa,3-68-0205,,1600-1800msnm,huila,,7.92,7.75,7.25,7.42,7.83,7.58,10,10,10,7.5,83.25
439,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora bonanza - armenia quindioa,3-68-0107,,1880 msnm,cauca,,8,7.67,7.67,7.25,7.67,7.5,10,10,10,7.5,83.25
440,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora bonanza - armenia quindio,3-068-0108,,1800 m.s.n.m,cundinamarca,Exportadora de Café Cóndor S.A,7.92,7.75,7.5,7.42,7.42,7.67,10,10,10,7.58,83.25
441,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,019/17,dry mill,002/1660/0079,ipanema coffees,890,south of minas,Ipanema Agricola S.A,7.67,7.42,7.5,7.58,7.67,7.58,10,10,10,7.75,83.17
442,Arabica,juan luis alvarado romero,Guatemala,beneficio el torreon,11/23/0673,beneficio ixchel,11/23/0673,"unex guatemala, s.a.",1901,oriente,AGROINDUSTRIAS CAFETALERAS,7.58,7.58,7.33,7.67,7.75,7.58,10,10,10,7.67,83.17
443,Arabica,taylor winch (t) ltd,"Tanzania, United Republic Of",mamsera,AA,rafiki (coffee) limited,033/0004,volcafe/taylorwinch tanzania ltd,16.8,moshi,Mamsera,7.67,7.58,7.42,7.67,7.67,7.58,10,10,10,7.58,83.17
444,Arabica,andrea bernal,Peru,,1,procesadora del sur sa,543,prodlesur sa,,,,7.92,7.5,7.5,7.58,7.67,7.5,10,10,10,7.5,83.17
445,Arabica,"sunvirtue co., ltd.",Vietnam,apollo estate,Oriental Paris Natural Coffee,yes,,"sunvirtue co., ltd.",1550,dala,"Yeh, Li Chuan",7.58,7.42,07.08,7.33,7.58,8.58,10,10,10,7.58,83.17
446,Arabica,juan luis alvarado romero,Guatemala,finca medina,11/11711/58,beneficio siembras vision (154),11/11711/58,"siembras vision, s.a.",1500,antigua,FINCA MEDINA,7.67,7.75,7.42,7.75,7.58,7.5,10,10,10,7.5,83.17
447,Arabica,cadexsa,Honduras,bethel,427,dry mill,13-63-214,cadexsa,1450,marcala,JOSE OMAR ACOSTA,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,83.17
448,Arabica,yunnan coffee exchange,China,chen lin,YNC-16056,mojiang jinggong estate speciality development co.ltd mill,,yunnan coffee exchange,1200,yunnan,Mojiang Jinggong Estate Speciality Development Co.Ltd,7.5,7.67,7.33,7.67,7.67,7.67,10,10,10,7.67,83.17
449,Arabica,yunnan coffee exchange,China,yunnan success trade co.ltd,YNC-16028,yunnan success trade co.ltd mill,,yunnan coffee exchange,1600,dehong prefecture,Yunnan Success Trade Co.Ltd,7.67,7.67,7.5,7.67,7.42,7.58,10,10,10,7.67,83.17
450,Arabica,consejo salvadoreño del café,El Salvador,agua caliente,1,agua caliente,9-392-68,consejo salvadoreño del café,1350,apaneca,Ecom Agroindustrial Corp. Ltd.,7.5,7.5,7.33,7.67,8,7.67,10,10,10,7.5,83.17
451,Arabica,juan luis alvarado romero,Guatemala,finca medina,,beneficio siembras vision (154),11/11711/1,"siembras vision, s.a.",1500msnm,antigua,FINCA MEDINA,7.5,7.75,7.5,7.83,7.58,7.5,10,10,10,7.5,83.17
452,Arabica,juan luis alvarado romero,Guatemala,"la esperanza, margarita nuyes",,beneficio ixchel,11/23/2004,"unex guatemala, s.a.",1400-1900 psn,oriente,PAPATURRO,7.92,7.67,7.42,7.75,7.5,7.5,10,10,10,7.42,83.17
453,Arabica,taylor winch (coffee) ltd.,Kenya,,,,37-0843-3305,taylor winch (coffee) ltd,approx.1'500 metres a.s.l.,kenya,,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,7.83,83.17
454,Arabica,doi tung development project,Thailand,,,,-,doi tung development project,800++,thailand,Doi Tung Development Project,7.67,7.58,7.58,7.75,7.42,7.67,10,10,10,7.5,83.17
455,Arabica,tutunze kahawa ltd,"Tanzania, United Republic Of",myanganyanga,,tutunze kahawa ltd,C9,tutunze kahawa ltd,1653,mbinga,Tutunze Kahawa Ltd,7.58,7.67,7.67,7.58,7.42,7.58,10,10,10,7.67,83.17
456,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-0119,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,7.58,7.5,7.5,7.67,7.5,7.67,10,10,10,7.75,83.17
457,Arabica,kabum trading company,Uganda,kaptanya,,gumutindo,0,kabum trading company,1800,eastern,Kabum Trading Company,8,7.67,7.5,7.42,7.33,7.58,10,10,10,7.67,83.17
458,Arabica,cafe politico,Colombia,unkown,,unkown,unkown,green mountain coffee,,,unkown,7.58,7.75,7.5,7.58,7.58,7.58,10,10,10,7.58,83.17
459,Arabica,mayra yessenia torres,Honduras,el cerron,,rio hamaca,13-01-2369,"olam honduras, s.a.",1450 msnn,san marcos,Nelson Melgar Melgar,7.5,7.5,7.5,7.67,7.67,7.67,10,10,10,7.67,83.17
460,Arabica,,Honduras,los hicaques,,cigrah sps,13-111-193,cigrah,1350,comayagua,Reynerio Zepeda,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,83.17
461,Arabica,juan luis alvarado romero,Guatemala,nueva granada,,beneficio nueva granada,11-326-10,"agricola nueva granada, s.a.",5000 pies,san marcos,"AGRICOLA NUEVA GRANADA, S.A.",7.33,7.83,7.17,8.17,7.33,7.67,10,10,10,7.67,83.17
462,Arabica,eileen koyanagi,United States (Hawaii),,,,KS011714,kona pacific farmers cooperative,,kona,,7.5,7.5,7.58,7.42,7.92,7.67,10,10,10,7.58,83.17
463,Arabica,balam hinyula,"Tanzania, United Republic Of",,,rafiki (coffee) limited,4,taylor winch (t) ltd,1800,kilimanjaro,,7.58,7.5,7.58,7.75,7.58,7.58,10,10,10,7.58,83.17
464,Arabica,juan luis alvarado romero,Guatemala,finca el morito,,beneficio ixchel,11/23/0465,"unex guatemala, s.a.",4300,oriente,ROBERTO MONTERROSO,7.67,7.83,7.33,7.67,7.5,7.67,10,10,10,7.5,83.17
465,Arabica,nestor mendez gomez,Mexico,santa cecilia,,"angel albino corzo, chiapas",016-2129,cesmach s.c.,1500,chiapas,MARGARITO ROBLERO VAZQUEZ,7.75,7.58,7.58,7.58,7.5,7.42,10,10,10,7.75,83.17
466,Arabica,saul m. hernandez ramirez,Mexico,tlapacoya,,"el chipoco, municipio de tlanchinol",1702765464,,532,"tlanchinol, hidalgo",AMADOR HERNANDEZ DIONICIO,7.75,7.67,7.58,7.5,7.42,7.58,10,10,10,7.67,83.17
467,Arabica,saul m. hernandez ramirez,Mexico,la loma,,el pedregal,1702771046,,1089,san bartolo tutotepec,"TREJO VELASCO, ROMAN",7.58,7.75,7.42,7.67,7.5,7.58,10,10,10,7.67,83.17
468,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-1691,c.i.racafe & cia s.c.a,de 1.600 a 1.950 msnm,huila,LA PLATA,7.67,7.5,7.5,7.5,7.58,8.17,10,10,10,7.25,83.17
469,Arabica,fernando mendoza aparicio,Mexico,el mirador,,el mirador,1702766681,,700,san isidro,FERNANDO MENDOZA APARICIO,7.75,7.5,7.42,7.75,7.58,7.58,10,10,10,7.58,83.17
470,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora bonanza - armenia quindioa,3-68-0140,exportadora de cafe condor s.a,1750 msnm,huila,,7.58,7.67,7.5,7.58,7.67,7.67,10,10,10,7.5,83.17
471,Arabica,alfredo bojalil,Mexico,finca nueva linda,,agroindustrias unidas de mexico,2222,ecomtrading,1380,la concordia,OCTAVIO MOGUEL FARRERA,7.5,7.75,7.58,7.58,7.67,7.5,10,10,10,7.58,83.17
472,Arabica,nucoffee,Brazil,campo das flores,,,002/1251/0250,nucoffee,1000m,south of minas,Giovane Senna Bonacorssi,7.75,7.67,7.58,7.5,7.58,7.58,10,10,10,7.5,83.17
473,Arabica,nucoffee,Brazil,são francisco da serra,,,002/1251/0245,nucoffee,950m,mogiana,Maria Aparecida Ferreira Azevedo,7.92,7.58,7.5,7.58,7.42,7.5,10,10,10,7.67,83.17
474,Arabica,felipe isaza,Guatemala,conquista / morito,,beneficio ixchel,11-26-0236,coffee resources inc.,4600 ft.,oriente,Conquista / Morito,7.75,7.5,7.67,7.5,7.92,8,10,10,9.33,7.5,83.17
475,Arabica,nucoffee,Brazil,fazenda do lobo,,,002/1251/0075,nucoffee,1000m,south of minas,Andrea Galvão Noqueira,7.75,7.5,7.58,7.5,7.75,7.5,10,10,10,7.58,83.17
476,Arabica,nucoffee,Brazil,olhos d'agua,,,,,900m,south of minas,Mario Dornelles Alvarenga,7.58,7.75,7.67,7.5,7.67,7.58,10,10,10,7.42,83.17
477,Arabica,the coffee source inc.,El Salvador,several,,la majada cooperative,9-29-1990,,1200 mts,santa ana,Several,7.42,7.83,8.17,08.08,7.17,7.58,10,9.33,10,7.58,83.17
478,Arabica,ethiopia commodity exchange,Ethiopia,tega and tula special coffee farm,,,010/0182/0008,,1850 m,limu,Tega and Tula Special Coffee Farm,7.75,8,7.67,08.08,7.83,7.92,9.33,9.33,9.33,7.92,83.17
479,Arabica,carcafe ltda ci,Colombia,,3-59-1694,bogota,3-59-1694,carcafe ltda,1799,cundinamarca,Orlando Moreno / Willson Sanchez,7.58,7.67,7.33,7.67,7.75,7.58,10,10,10,7.5,83.08
